satellite_position_km,nadir_surface_echo_m,offnadir_surface_echo_apparent_depth_m,offnadir_extra_two_way_delay_us
-13.200,0.000000,560.564877,6.656642
-13.000,0.000000,556.894228,6.613053
-12.800,0.000000,553.279561,6.570129
-12.600,0.000000,549.720879,6.527870
-12.400,0.000000,546.218184,6.486276
-12.200,0.000000,542.771479,6.445347
-12.000,0.000000,539.380767,6.405083
-11.800,0.000000,536.046050,6.365483
-11.600,0.000000,532.767330,6.326549
-11.400,0.000000,529.544610,6.288280
-11.200,0.000000,526.377893,6.250675
-11.000,0.000000,523.267180,6.213736
-10.800,0.000000,520.212475,6.177462
-10.600,0.000000,517.213779,6.141852
-10.400,0.000000,514.271094,6.106908
-10.200,0.000000,511.384423,6.072630
-10.000,0.000000,508.553769,6.039016
-9.800,0.000000,505.779132,6.006067
-9.600,0.000000,503.060515,5.973784
-9.400,0.000000,500.397920,5.942166
-9.200,0.000000,497.791350,5.911213
-9.000,0.000000,495.240806,5.880926
-8.800,0.000000,492.746289,5.851304
-8.600,0.000000,490.307803,5.822347
-8.400,0.000000,487.925348,5.794056
-8.200,0.000000,485.598926,5.766430
-8.000,0.000000,483.328540,5.739469
-7.800,0.000000,481.114191,5.713174
-7.600,0.000000,478.955880,5.687544
-7.400,0.000000,476.853609,5.662580
-7.200,0.000000,474.807380,5.638282
-7.000,0.000000,472.817194,5.614648
-6.800,0.000000,470.883053,5.591681
-6.600,0.000000,469.004958,5.569378
-6.400,0.000000,467.182911,5.547742
-6.200,0.000000,465.416913,5.526771
-6.000,0.000000,463.706965,5.506465
-5.800,0.000000,462.053068,5.486826
-5.600,0.000000,460.455224,5.467851
-5.400,0.000000,458.913434,5.449543
-5.200,0.000000,457.427699,5.431900
-5.000,0.000000,455.998021,5.414923
-4.800,0.000000,454.624399,5.398611
-4.600,0.000000,453.306836,5.382965
-4.400,0.000000,452.045332,5.367985
-4.200,0.000000,450.839889,5.353670
-4.000,0.000000,449.690506,5.340022
-3.800,0.000000,448.597186,5.327039
-3.600,0.000000,447.559928,5.314721
-3.400,0.000000,446.578734,5.303070
-3.200,0.000000,445.653605,5.292084
-3.000,0.000000,444.784540,5.281764
-2.800,0.000000,443.971541,5.272110
-2.600,0.000000,443.214608,5.263121
-2.400,0.000000,442.513742,5.254798
-2.200,0.000000,441.868944,5.247141
-2.000,0.000000,441.280213,5.240150
-1.800,0.000000,440.747550,5.233825
-1.600,0.000000,440.270956,5.228166
-1.400,0.000000,439.850432,5.223172
-1.200,0.000000,439.485976,5.218844
-1.000,0.000000,439.177590,5.215182
-0.800,0.000000,438.925274,5.212186
-0.600,0.000000,438.729028,5.209855
-0.400,0.000000,438.588853,5.208191
-0.200,0.000000,438.504747,5.207192
0.000,0.000000,438.476712,5.206859
0.200,0.000000,438.504747,5.207192
0.400,0.000000,438.588853,5.208191
0.600,0.000000,438.729028,5.209855
0.800,0.000000,438.925274,5.212186
1.000,0.000000,439.177590,5.215182
1.200,0.000000,439.485976,5.218844
1.400,0.000000,439.850432,5.223172
1.600,0.000000,440.270956,5.228166
1.800,0.000000,440.747550,5.233825
2.000,0.000000,441.280213,5.240150
2.200,0.000000,441.868944,5.247141
2.400,0.000000,442.513742,5.254798
2.600,0.000000,443.214608,5.263121
2.800,0.000000,443.971541,5.272110
3.000,0.000000,444.784540,5.281764
3.200,0.000000,445.653605,5.292084
