column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
3765,7.277714,80.398637,317161.15,-1579.0,2426.0,3378705.0,3376764.152
3766,7.264772,80.391228,317159.893,-1586.0,2427.0,3378705.0,3376765.014
3767,7.251761,80.383768,317158.626,-1592.0,2429.0,3378707.0,3376765.883
3768,7.238857,80.376359,317157.366,-1600.0,2430.0,3378707.0,3376766.747
3769,7.225884,80.368898,317156.097,-1603.0,2430.0,3378708.0,3376767.617
3770,7.213017,80.361488,317154.835,-1610.0,2432.0,3378709.0,3376768.483
3771,7.200082,80.354026,317153.563,-1614.0,2432.0,3378710.0,3376769.354
3772,7.187252,80.346615,317152.299,-1618.0,2433.0,3378710.0,3376770.221
3773,7.174355,80.339153,317151.024,-1621.0,2433.0,3378711.0,3376771.094
3774,7.161563,80.33174,317149.758,-1624.0,2434.0,3378712.0,3376771.962
3775,7.148703,80.324277,317148.481,-1625.0,2434.0,3378712.0,3376772.837
3776,7.135947,80.316864,317147.212,-1626.0,2434.0,3378712.0,3376773.706
3777,7.123124,80.3094,317145.932,-1627.0,2434.0,3378714.0,3376774.582
3778,7.110406,80.301986,317144.661,-1627.0,2434.0,3378715.0,3376775.453
3779,7.09762,80.294521,317143.379,-1627.0,2434.0,3378716.0,3376776.33
3780,7.084939,80.287106,317142.105,-1626.0,2434.0,3378716.0,3376777.202
3781,7.07219,80.27964,317140.821,-1624.0,2434.0,3378717.0,3376778.081
3782,7.059545,80.272224,317139.545,-1625.0,2434.0,3378718.0,3376778.955
3783,7.046833,80.264758,317138.258,-1626.0,2434.0,3378719.0,3376779.835
3784,7.034224,80.257341,317136.979,-1626.0,2434.0,3378719.0,3376780.71
3785,7.021548,80.249874,317135.69,-1627.0,2434.0,3378720.0,3376781.591
3786,7.008976,80.242456,317134.409,-1626.0,2434.0,3378720.0,3376782.468
3787,6.996337,80.234988,317133.118,-1627.0,2434.0,3378722.0,3376783.351
3788,6.9838,80.227569,317131.834,-1625.0,2434.0,3378722.0,3376784.228
3789,6.971198,80.2201,317130.54,-1625.0,2434.0,3378723.0,3376785.113
3790,6.958697,80.212681,317129.254,-1625.0,2434.0,3378724.0,3376785.992
3791,6.94613,80.205211,317127.958,-1627.0,2434.0,3378725.0,3376786.877
3792,6.933666,80.19779,317126.669,-1631.0,2435.0,3378725.0,3376787.758
3793,6.921135,80.19032,317125.371,-1638.0,2436.0,3378725.0,3376788.645
3794,6.908706,80.182899,317124.08,-1658.0,2440.0,3378727.0,3376789.527
3795,6.89621,80.175427,317122.779,-1674.0,2442.0,3378728.0,3376790.415
3796,6.883817,80.168005,317121.485,-1688.0,2445.0,3378729.0,3376791.299
