position_km,normal_altitude_km,ascending_altitude_km,descending_altitude_km,normal_radial_velocity_m_s,ascending_radial_velocity_m_s,descending_radial_velocity_m_s,normal_vhf_doppler_hz,ascending_vhf_doppler_hz,descending_vhf_doppler_hz,normal_hf_doppler_hz,ascending_hf_doppler_hz,descending_hf_doppler_hz
-10.800,400.000000,398.650000,401.350000,-107.750563,390.723632,-606.242722,43.100225,-156.289453,242.497089,6.471505,-23.466885,36.410974
-10.600,400.000000,398.675000,401.325000,-105.756590,392.737771,-604.268407,42.302636,-157.095108,241.707363,6.351747,-23.587854,36.292397
-10.400,400.000000,398.700000,401.300000,-103.762539,394.751612,-602.293648,41.505016,-157.900645,240.917459,6.231984,-23.708806,36.173793
-10.200,400.000000,398.725000,401.275000,-101.768410,396.765155,-600.318445,40.707364,-158.706062,240.127378,6.112217,-23.829739,36.055162
-10.000,400.000000,398.750000,401.250000,-99.774205,398.778399,-598.342799,39.909682,-159.511359,239.337120,5.992445,-23.950655,35.936504
-9.800,400.000000,398.775000,401.225000,-97.779925,400.791341,-596.366713,39.111970,-160.316536,238.546685,5.872668,-24.071552,35.817821
-9.600,400.000000,398.800000,401.200000,-95.785573,402.803980,-594.390187,38.314229,-161.121592,237.756075,5.752887,-24.192431,35.699110
-9.400,400.000000,398.825000,401.175000,-93.791149,404.816315,-592.413223,37.516459,-161.926526,236.965289,5.633102,-24.313292,35.580374
-9.200,400.000000,398.850000,401.150000,-91.796655,406.828344,-590.435822,36.718662,-162.731338,236.174329,5.513313,-24.434135,35.461611
-9.000,400.000000,398.875000,401.125000,-89.802092,408.840066,-588.457985,35.920837,-163.536027,235.383194,5.393519,-24.554959,35.342822
-8.800,400.000000,398.900000,401.100000,-87.807463,410.851480,-586.479713,35.122985,-164.340592,234.591885,5.273721,-24.675765,35.224007
-8.600,400.000000,398.925000,401.075000,-85.812768,412.862584,-584.501009,34.325107,-165.145033,233.800404,5.153920,-24.796552,35.105166
-8.400,400.000000,398.950000,401.050000,-83.818009,414.873376,-582.521873,33.527203,-165.949350,233.008749,5.034115,-24.917320,34.986299
-8.200,400.000000,398.975000,401.025000,-81.823187,416.883855,-580.542307,32.729275,-166.753542,232.216923,4.914306,-25.038069,34.867406
-8.000,400.000000,399.000000,401.000000,-79.828304,418.894020,-578.562312,31.931322,-167.557608,231.424925,4.794493,-25.158800,34.748487
-7.800,400.000000,399.025000,400.975000,-77.833362,420.903868,-576.581889,31.133345,-168.361547,230.632756,4.674676,-25.279512,34.629543
-7.600,400.000000,399.050000,400.950000,-75.838362,422.913400,-574.601040,30.335345,-169.165360,229.840416,4.554857,-25.400204,34.510573
-7.400,400.000000,399.075000,400.925000,-73.843305,424.922613,-572.619766,29.537322,-169.969045,229.047906,4.435033,-25.520878,34.391578
