x_km,z_km,dz_dx,dz_dt_km_s,range_km,dR_dt_m_s,vhf_doppler_hz,hf_doppler_hz
-8.400,400.078400,-0.018666667,-0.074666667,400.946737,-158.306614,63.322646,9.507905
-8.200,400.074711,-0.018222222,-0.072888889,400.938916,-154.539753,61.815901,9.281667
-8.000,400.071111,-0.017777778,-0.071111111,400.931283,-150.772723,60.309089,9.055419
-7.800,400.067600,-0.017333333,-0.069333333,400.923839,-147.005527,58.802211,8.829161
-7.600,400.064178,-0.016888889,-0.067555556,400.916583,-143.238170,57.295268,8.602893
-7.400,400.060844,-0.016444444,-0.065777778,400.909515,-139.470657,55.788263,8.376616
-7.200,400.057600,-0.016000000,-0.064000000,400.902636,-135.702990,54.281196,8.150330
-7.000,400.054444,-0.015555556,-0.062222222,400.895945,-131.935175,52.774070,7.924035
-6.800,400.051378,-0.015111111,-0.060444444,400.889442,-128.167215,51.266886,7.697731
-6.600,400.048400,-0.014666667,-0.058666667,400.883128,-124.399114,49.759646,7.471418
-6.400,400.045511,-0.014222222,-0.056888889,400.877002,-120.630878,48.252351,7.245098
-6.200,400.042711,-0.013777778,-0.055111111,400.871065,-116.862509,46.745003,7.018769
-6.000,400.040000,-0.013333333,-0.053333333,400.865316,-113.094012,45.237605,6.792433
-5.800,400.037378,-0.012888889,-0.051555556,400.859756,-109.325390,43.730156,6.566090
-5.600,400.034844,-0.012444444,-0.049777778,400.854383,-105.556649,42.222660,6.339739
-5.400,400.032400,-0.012000000,-0.048000000,400.849200,-101.787793,40.715117,6.113381
-5.200,400.030044,-0.011555556,-0.046222222,400.844205,-98.018824,39.207530,5.887016
-5.000,400.027778,-0.011111111,-0.044444444,400.839398,-94.249748,37.699899,5.660646
-4.800,400.025600,-0.010666667,-0.042666667,400.834780,-90.480569,36.192228,5.434268
-4.600,400.023511,-0.010222222,-0.040888889,400.830350,-86.711290,34.684516,5.207885
-4.400,400.021511,-0.009777778,-0.039111111,400.826109,-82.941917,33.176767,4.981497
-4.200,400.019600,-0.009333333,-0.037333333,400.822056,-79.172452,31.668981,4.755102
-4.000,400.017778,-0.008888889,-0.035555556,400.818191,-75.402901,30.161160,4.528703
-3.800,400.016044,-0.008444444,-0.033777778,400.814515,-71.633267,28.653307,4.302298
-3.600,400.014400,-0.008000000,-0.032000000,400.811028,-67.863554,27.145422,4.075889
-3.400,400.012844,-0.007555556,-0.030222222,400.807729,-64.093767,25.637507,3.849475
-3.200,400.011378,-0.007111111,-0.028444444,400.804619,-60.323909,24.129564,3.623058
-3.000,400.010000,-0.006666667,-0.026666667,400.801697,-56.553985,22.621594,3.396636
-2.800,400.008711,-0.006222222,-0.024888889,400.798963,-52.784000,21.113600,3.170210
-2.600,400.007511,-0.005777778,-0.023111111,400.796418,-49.013956,19.605582,2.943781
-2.400,400.006400,-0.005333333,-0.021333333,400.794062,-45.243859,18.097543,2.717349
-2.200,400.005378,-0.004888889,-0.019555556,400.791894,-41.473712,16.589485,2.490914
-2.000,400.004444,-0.004444444,-0.017777778,400.789915,-37.703519,15.081408,2.264476
-1.800,400.003600,-0.004000000,-0.016000000,400.788124,-33.933285,13.573314,2.038035
-1.600,400.002844,-0.003555556,-0.014222222,400.786521,-30.163014,12.065205,1.811592
-1.400,400.002178,-0.003111111,-0.012444444,400.785107,-26.392709,10.557084,1.585148
-1.200,400.001600,-0.002666667,-0.010666667,400.783882,-22.622376,9.048950,1.358701
-1.000,400.001111,-0.002222222,-0.008888889,400.782845,-18.852018,7.540807,1.132253
-0.800,400.000711,-0.001777778,-0.007111111,400.781997,-15.081639,6.032656,0.905804
-0.600,400.000400,-0.001333333,-0.005333333,400.781337,-11.311244,4.524498,0.679354
-0.400,400.000178,-0.000888889,-0.003555556,400.780866,-7.540836,3.016334,0.452903
-0.200,400.000044,-0.000444444,-0.001777778,400.780583,-3.770420,1.508168,0.226452
0.000,400.000000,0.000000000,0.000000000,400.780489,0.000000,-0.000000,-0.000000
0.200,400.000044,0.000444444,0.001777778,400.780583,3.770420,-1.508168,-0.226452
