shell_mode,scenario,band,points,clear_ocean_pct,ambiguous_pct,false_stronger_pct,hidden_false_visible_pct,internal_feature_only_pct,surface_clutter_pct,outside_band_depth_window_pct,weak_no_deep_detection_pct,deep_false_risk_pct,surface_clutter_detected_pct,median_surface_clutter_snr_margin_db,max_surface_clutter_minus_ocean_db,median_ocean_snr_margin_db,min_ocean_snr_margin_db,max_false_minus_ocean_db,max_abs_inferred_depth_error_m,median_layer_count
workbook_mid_shell,near_surface_brine,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,98.7551867219917,0.0,1.2448132780082988,0.0,0.0,0.0,,,,,,15988.852422968452,1.0
workbook_mid_shell,rough_surface_clutter,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.40080455006378,12.715332947375137,-1011.7153329473751,0.0,0.0
workbook_mid_shell,rough_surface_clutter,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96265560165975,-0.08401046791567168,-6.234553175246813,13.09246486595454,11.313733392268531,-1010.3137333922685,0.0,0.0
workbook_mid_shell,rough_surface_clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,98.7551867219917,1.2448132780082988,0.0,0.0,98.7551867219917,4.915989532084328,,,,,13799.29826501482,0.0
workbook_mid_shell,salt_layers_reason,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.39960455006378,12.714132947375136,-12.292943039979116,0.0,2.0
workbook_mid_shell,salt_layers_reason,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.089366479277572,11.310635005591564,-4.68655505289172,0.0,2.0
workbook_mid_shell,salt_layers_reason,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,2.0
workbook_mid_shell,stacked_dirty_layers,HF_9MHz_full_depth,241,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,,,-1.8535966844733145,-3.321346348162084,13.769067990884938,4500.190822477653,6.0
workbook_mid_shell,stacked_dirty_layers,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,78.83817427385893,0.0,0.0,0.0,0.0,21.16182572614108,78.83817427385893,0.0,,,-26.296021546933115,-30.08007174448618,30.562145311462864,4588.190822477653,6.0
workbook_mid_shell,stacked_dirty_layers,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,6.0
workbook_mid_shell,warm_impure_ice,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.708176926742463,1.1041676472918973,-1000.1041676472919,0.0,0.0
workbook_mid_shell,warm_impure_ice,VHF_60MHz_full_depth_lowDR,241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,,-14.500268745651267,-18.666166499254018,-980.333833500746,,0.0
workbook_mid_shell,warm_impure_ice,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,,,,,,0.0
