Column,SpacecraftLon,SpacecraftLat,SpacecraftHgt,NadirHgt,NadirLine,NadirAreoidRad,NadirEllipsoidRad,FirstLon,FirstLat,FirstHgt,FirstLine
3793,6.921135,80.190320,317125.371,-1638,2436,3378725,3376788.645,7.057569,80.198724,-1625.429,2434
3794,6.908706,80.182899,317124.080,-1658,2440,3378727,3376789.527,7.044244,80.190289,-1634.097,2436
3795,6.896210,80.175427,317122.779,-1674,2442,3378728,3376790.415,7.185317,80.176312,-1638.648,2439
3796,6.883817,80.168005,317121.485,-1688,2445,3378729,3376791.299,7.183067,80.168394,-1652.785,2441
3797,6.871357,80.160533,317120.182,-1700,2447,3378729,3376792.188,7.303917,80.153214,-1651.732,2444
3798,6.858915,80.153060,317118.877,-1695,2446,3378730,3376793.079,6.775537,80.162640,-1685.942,2444
3799,6.846575,80.145636,317117.580,-1694,2446,3378731,3376793.964,6.829778,80.150932,-1683.337,2444
3800,6.834168,80.138163,317116.273,-1680,2443,3378732,3376794.856,6.827729,80.142962,-1675.510,2442
3801,6.821863,80.130739,317114.974,-1672,2442,3378732,3376795.743,6.873022,80.133801,-1669.715,2441
3802,6.809492,80.123264,317113.664,-1671,2442,3378732,3376796.636,6.899315,80.124442,-1665.945,2441
3803,6.797221,80.115839,317112.363,-1671,2442,3378734,3376797.524,6.915335,80.115638,-1663.442,2441
3804,6.784885,80.108364,317111.051,-1676,2443,3378735,3376798.419,6.931003,80.109985,-1660.674,2440
3805,6.772649,80.100938,317109.746,-1677,2443,3378736,3376799.309,6.934106,80.101812,-1660.764,2441
3806,6.760347,80.093462,317108.432,-1681,2443,3378736,3376800.205,6.934076,80.100121,-1660.967,2441
3807,6.748146,80.086035,317107.125,-1683,2444,3378737,3376801.096,6.947453,80.091441,-1661.896,2441
3808,6.735880,80.078558,317105.809,-1686,2444,3378738,3376801.993,6.963289,80.082583,-1662.403,2441
3809,6.723713,80.071131,317104.499,-1689,2445,3378739,3376802.885,6.950961,80.075170,-1665.293,2442
3810,6.711481,80.063653,317103.180,-1690,2445,3378739,3376803.784,6.948822,80.067200,-1667.946,2443
3811,6.699348,80.056225,317101.869,-1691,2445,3378740,3376804.678,6.877060,80.058467,-1675.413,2443
3812,6.687151,80.048746,317100.547,-1691,2445,3378741,3376805.578,6.839631,80.056490,-1677.873,2443
3813,6.675052,80.041317,317099.233,-1691,2445,3378742,3376806.473,6.855585,80.047688,-1677.932,2444
3814,6.662889,80.033838,317097.909,-1692,2445,3378743,3376807.375,6.799794,80.042360,-1682.797,2444
3815,6.650824,80.026408,317096.593,-1693,2445,3378743,3376808.271,6.759494,80.036323,-1685.525,2444
3816,6.638695,80.018928,317095.266,-1694,2446,3378744,3376809.174,6.749841,80.028728,-1686.996,2445
3817,6.626665,80.011497,317093.948,-1697,2446,3378745,3376810.072,6.739530,80.020157,-1689.142,2445
3818,6.614570,80.004016,317092.619,-1702,2447,3378745,3376810.977,6.751077,80.012585,-1691.057,2446
3819,6.602573,79.996585,317091.298,-1708,2448,3378745,3376811.876,6.782331,80.003033,-1691.100,2446
3820,6.590512,79.989103,317089.966,-1712,2449,3378747,3376812.782,6.775236,79.995313,-1694.256,2446
3821,6.578548,79.981671,317088.643,-1721,2450,3378748,3376813.682,6.714009,79.989249,-1701.047,2447
3822,6.566521,79.974188,317087.309,-1729,2452,3378749,3376814.589,6.817106,79.977158,-1694.790,2447
3823,6.554591,79.966755,317085.983,-1739,2453,3378750,3376815.491,6.759257,79.972002,-1703.081,2448
