position_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,hf_doppler_hz,vhf_doppler_hz,hf_abs_doppler_hz,vhf_abs_doppler_hz
-38.200,401.621378,-0.339555556,42.967337,286.162461,42.967337,286.162461
-38.000,401.604444,-0.337777778,42.745300,284.683696,42.745300,284.683696
-37.800,401.587600,-0.336000000,42.523218,283.204630,42.523218,283.204630
-37.600,401.570844,-0.334222222,42.301091,281.725263,42.301091,281.725263
-37.400,401.554178,-0.332444444,42.078919,280.245598,42.078919,280.245598
-37.200,401.537600,-0.330666667,41.856702,278.765636,41.856702,278.765636
-37.000,401.521111,-0.328888889,41.634441,277.285378,41.634441,277.285378
-36.800,401.504711,-0.327111111,41.412136,275.804826,41.412136,275.804826
-36.600,401.488400,-0.325333333,41.189787,274.323981,41.189787,274.323981
-36.400,401.472178,-0.323555556,40.967394,272.842845,40.967394,272.842845
-36.200,401.456044,-0.321777778,40.744958,271.361419,40.744958,271.361419
-36.000,401.440000,-0.320000000,40.522478,269.879705,40.522478,269.879705
-35.800,401.424044,-0.318222222,40.299956,268.397704,40.299956,268.397704
-35.600,401.408178,-0.316444444,40.077390,266.915418,40.077390,266.915418
-35.400,401.392400,-0.314666667,39.854782,265.432847,39.854782,265.432847
-35.200,401.376711,-0.312888889,39.632131,263.949995,39.632131,263.949995
-35.000,401.361111,-0.311111111,39.409439,262.466861,39.409439,262.466861
-34.800,401.345600,-0.309333333,39.186704,260.983448,39.186704,260.983448
-34.600,401.330178,-0.307555556,38.963927,259.499757,38.963927,259.499757
-34.400,401.314844,-0.305777778,38.741109,258.015789,38.741109,258.015789
-34.200,401.299600,-0.304000000,38.518250,256.531547,38.518250,256.531547
-34.000,401.284444,-0.302222222,38.295350,255.047031,38.295350,255.047031
-33.800,401.269378,-0.300444444,38.072409,253.562242,38.072409,253.562242
-33.600,401.254400,-0.298666667,37.849427,252.077184,37.849427,252.077184
-33.400,401.239511,-0.296888889,37.626405,250.591856,37.626405,250.591856
-33.200,401.224711,-0.295111111,37.403342,249.106261,37.403342,249.106261
-33.000,401.210000,-0.293333333,37.180240,247.620400,37.180240,247.620400
